@relation designdecisions

@attribute class {1, 0}
@attribute DecisionText string

@data
1,'Rewrite Intersect phyiscal plan using semijoin Our current Intersect physical operator simply delegates to RDD intersect We should remove the Intersect physical operator and simply transform a logical intersect into a semijoin This way we can take advantage of all the benefits of join implementations eg managed memory code generation broadcast joins'
1,'Move sparkec2 from mesos to amplab'
1,'20 python converage mlregression module See parent task SPARK14813'
1,'Upgrade Parquet to 182 Apache Parquet 182 is released officially last week on 26 Jan This issue aims to bump Parquet version to 182 since it includes many fixes'
1,'Add support for pluggable cluster manager Currently Spark allows only a few cluster managers viz Yarn Mesos and Standalone But as Spark is now being used in newer and different use cases there is a need for allowing other cluster managers to manage spark components One such use case is embedding spark components like executor and driver inside another process which may be a datastore This allows colocation of data and processing Another requirement that stems from such a use case is that the executors driver should not take the parent process down when they go down and the components can be relaunched inside the same process again So this JIRA requests two functionalities Support for external cluster managers Allow a cluster manager to clean up the tasks without taking the parent process down'
1,'Add conf to mesos dispatcher process Sometimes we simply need to add a property in Spark Config for the Mesos Dispatcher The only option right now is to created a property file'
1,'Support for classes defined in package objects When you define a  inside of a package object the name ends up being something like orgmycompanyprojectpackage$MyClass However when reflect on this we try and load orgmycompanyprojectMyClass'
1,'Naive Bayes wrapper in SparkR Following SPARK13011 we can add a wrapper for naive Bayes in SparkR Rs naive Bayes implementation is from package e1071 with signature It should be easy for us to match the parameters'
1,'Reimplement TypedAggregateExpression to DeclarativeAggregate'
1,'Refactor StaticInvoke Invoke and NewInstance Refactor StaticInvoke Invoke and NewInstance as Introduce InvokeLike to extract common logic from StaticInvoke Invoke and NewInstance to prepare arguments Remove unneeded null checking and fix nullability of NewInstance Modify to short circuit if arguments have null when propageteNull true'
1,'Add unit tests framework Mockito Common tests are functional tests or end to end It makes sense to have Mockito framework for the convenience of true unit tests development'
1,'Upgrade HTrace version Were currently pulling in version 401incubating I think we should upgrade to the latest 410incubating'
1,'Move regexp unit tests to RegexpExpressionsSuite'
1,'Rename some window rank function names for SparkR Change cumeDist cumedist denseRank denserank percentRank percentrank rowNumber rownumber There are two reasons that we should make this change We should follow the naming convention rule of R Spark DataFrame has deprecated the old convention such as cumeDist and will remove it in Spark 20 Its better to fix this issue before 16 release otherwise we will make breaking API change'
1,'Upgrade MQTT dependency to use mqttclient 101 mqtt client 040 is breaking Spark build'
1,'Add Codec for ZStandard Compression ZStandard has been used in production for 6 months by facebook now v10 was recently released Create a codec for this library'
1,'Centralize deprecated configs in SparkConf Deprecated configs are currently all strewn across the code base It would be good to simplify the handling of the deprecated configs in a central location to avoid duplicating the deprecation logic everywhere'
1,'Update Yetus to 020 Update Yetus to 020'
1,'Move StringToColumn implicit  into SQLImplicits They were kept in SQLContextimplicits object for binary backward compatibility in the Spark 1x series It makes more sense for this API to be in SQLImplicits since thats the single  that defines all the SQL implicits'
1,'replace slaves with workers slavessh and the slaves file should get replace with workerssh and a workers file'
1,'Refactory command in spark sql Fix a todo in spark sql remove Command and use RunnableCommand instead'
1,'Replace shuffleManagerClass with shortShuffleMgrNames in ExternalShuffleBlockResolver'
1,'we need some rpc retry framework We need some mechanism for RPC calls that get exceptions to automatically retry the call under certain circumstances In particular we often end up with calls to rpcs being wrapped with retry loops for timeouts We should be able to make a retrying proxy that will call the rpc and retry in some circumstances'
1,'Incorporate Aliyun OSS file system implementation Aliyun OSS is widely used among China cloud users but currently it is not easy to access data laid on OSS storage from users Hadoop Spark application because of no original support for OSS in Hadoop This work aims to integrate Aliyun OSS with Hadoop By simple configuration Spark Hadoop applications can read write data from OSS without any code change Narrowing the gap between users APP and data storage like what have been done for S3 in Hadoop'
1,'Upgrade to JUnit 4 Amongst other things JUnit 4 has better support for classwide set up and tear down via BeforeClass and AfterClass annotations and more flexible assertions It would be nice to be able to take advantage of these features in tests we write JUnit 4 can run tests written for JUnit 381 without any changes'
1,'Add WeibullGenerator for RandomDataGenerator components SPARK8518 need to generate random data which follow Weibull distribution'
1,'Rename StringIndexerInverse to IndexToString What StringIndexerInverse does is not strictly associated with StringIndexer and the name is not super clear'
1,'Structured streaming support for consuming from Kafka This is the parent JIRA to track all the work for the building a Kafka source for Structured Streaming Here is the design doc for an initial version of the Kafka Source Structured streaming doesnt have support for kafka yet I personally feel like time based indexing would make for a much better interface but its been pushed back to kafka 0101'
1,'move RowMatrixdspr to BLAS component We implemented dspr with sparse vector support in RowMatrix This method is also used in WeightedLeastSquares and other places It would be useful to move it to linalgBLAS modue'
1,'Rewrite kms to use new shell framework kms was not rewritten to use the new shell framework It should be reworked to take advantage of it'
1,'Replace SQLContext with SparkSession in MLlib Use the latest Sparksession to replace the existing SQLContext in MLlib'
1,'Update Fastutil Really simple request to upgrade fastutil to 65x The current version 64x has some minor APIs in the Object2xxOpenHashMap structures which is used in many places in Spark and has been marked deprecated Plus there is a conflict with another library we are using saddle which uses a newer version of fastutil'
1,'rework heap management vars PostHADOOP9902 we need to rework how heap is configured for small footprint machines deprecate some options introduce new ones for greater flexibility'
1,'Upgrade pyspark to use py4j 09'
1,'Update Tomcat version used by HttpFS and KMS to latest 6x version KMS and HttpFS are using Tomcat 6037 we should move it to 6041 to get bug fixes and security fixes We should add a property with the tomcat version in the hadoopproject POM and use that property from KMS and HttpFS'
1,'20 python converage mlclassification module See parent task SPARK14813'
1,'Collect Mesos support code into a module profile I think this is fairly easy and would be beneficial as more work goes into Mesos It should separate into a module like YARN does just on principle really but because it also means anyone that doesnt need Mesos support can build without it Im entirely willing to take a shot at this'
1,'Deprecate runs in kmeans runs introduces extra complexity and overhead in MLlibs kmeans implementation I havent seen much usage with runs not equal to 1 We can deprecate this method in 16 and remove or void it in 17 It helps us simplify the implementation'
1,'JDK8 Update guice version to 40 guice 30 doesnt work with lambda statement We should upgrade it to 40 which includes the fix'
1,'Pick default page size more intelligently Previously we use 64MB as the default page size which was way too big for a lot of Spark applications especially for single node This patch changes it so that the default page size if unset by the user is determined by the number of cores available and the total execution memory available'
1,'Move sparksqlhivethriftServersingleSession to SQLConf Since sparksqlhivethriftServersingleSession is a configuration of SQL component this conf can be moved from SparkConf to StaticSQLConf When we introduced sparksqlhivethriftServersingleSession all the SQL configuration can be modified in different sessions Later static SQL configuration is added It is a perfect fit for sparksqlhivethriftServersingleSession Previously we did the same move for sparksqlwarehousedir from SparkConf to StaticSQLConf'
1,'Change ContextCleanerreferenceBuffer to ConcurrentHashMap to make it faster Right now ContextCleanerreferenceBuffer is ConcurrentLinkedQueue and the time complexity of the remove action is O n It can be changed to use ConcurrentHashMap whose remove is O 1'
1,'20 python coverage mlfeature module See parent task SPARK14813 ~bryanc did this component'
1,'Upgrade Zinc from 0353 to 039 We should update to the latest version of Zinc in order to match our SBT version'
1,'make MultilayerPerceptronClassifier layers and weights public make MultilayerPerceptronClassifier layers and weights public'
1,'Update LogisticCostAggregator serialization code to make it consistent with LinearRegressionmodule Update LogisticCostAggregator serialization code to make it consistent with LinearRegression module'
1,'Add package vignette to SparkR'
1,'Replace SQLContext with SparkSession in ML MLLib This issue replaces all deprecated SQLContext occurrences with SparkSession in ML MLLib module except the following two classes These two classes use SQLContext as their function arguments'
1,'Update ADLS SDK to 214 ADLS has multiple upgrades since the version 2011 we are using 211 212 and 214'
1,'Refactor GLMs code in SparkRWrappers We use a single object SparkRWrappers to wrap calls to glm and kmeans in SparkR This is quite hard to maintain We should refactor them into separate wrappers like AFTSurvivalRegressionWrapper and NaiveBayesWrapper The package name should be spakrmlr instead of sparkmlapir'
1,'Minor refactoring and cleanup in BlockManager block status reporting and block removal As a precursor to fixing a block fetch bug Id like to split a few small refactorings in BlockManager into their own patch hence this JIRA'
1,'Upgrade Tachyon dependency to 060'
1,'Move Google Test Framework code from mapreduce to hadoopcommon The mapreduce project has Google Test Framework code to allow testing of native libraries This should be moved to hadoopcommon so that other projects can use it as well'
1,'Consolidate local scheduler and cluster scheduler We should consolidate LocalScheduler and ClusterScheduler given most of the functionalities are duplicated in both This can be done by removing the LocalScheduler and create a LocalSchedulerBackend that connects directly to an Executor'
1,'SQLTab should be shared by across sessions We should share the SQLTab across sessions'
1,'Pluggable shell integration It would be useful to provide a way for core and noncore Hadoop components to plug into the shell infrastructure This would allow us to pull the HDFS MapReduce and YARN shell functions out of hadoopfunctionssh Additionally it should let 3rd parties such as HBase influence things like classpaths at runtime'
1,'Separate out local linear algebra as a standalone module without Spark dependency Separate out linear algebra as a standalone module without Spark dependency to simplify production deployment We can call the new module mlliblocal which might contain local models in the future The major issue is to remove dependencies on userdefined types The package name will be changed from mllib to ml For example Vector will be changed from orgapachesparkmlliblinalgVector to orgapachesparkmllinalgVector The return vector type in the new ML pipeline will be the one in ML package however the existing mllib code will not be touched As a result this will potentially break the API Also when the vector is loaded from mllib vector by Spark SQL the vector will automatically converted into the one in ml package'
1,'Separate configs between shuffle and RPC SPARK6028 uses network module to implement RPC However there are some configurations named with sparkshuffle prefix in the network module We should refactor them and make sure the user can control them in shuffle and RPC separately'
1,'Update mavenenforcerplugin version to 141'
1,'Refactor kmeans code in SparkRWrappers We use a single object SparkRWrappers to wrap calls to glm and kmeans in SparkR This is quite hard to maintain We should refactor them into separate wrappers like AFTSurvivalRegressionWrapper and NaiveBayesWrapper The package name should be spakrmlr instead of sparkmlapir'
1,'Use sqlContext from MLlibTestSparkContext for sparkml test suites Use sqlContext from MLlibTestSparkContext rather than creating new one for sparkml test cases'
1,'Refactor code generation to get data for ColumnVector ColumnarBatch Code generation to get data from ColumnVector and ColumnarBatch is becoming pervasive The code generation part can be reused by multiple components eg parquet reader data cache and so on This JIRA refactors the code generation part as a trait for ease of reuse'
1,'Upgrade derby to 101211 from 101111 This JIRA is to upgrade the derby version from 101111 to 101211 Sean and I figured that we only use derby for tests and so the initial pull request was to not include it in the jars folder for Spark I now believe it is required based on comments for the pull request and so this is only a dependency upgrade The upgrade is due to an already disclosed vulnerability CVE20151832 in derby 101111 We used search and will be checking for any other problems in a variety of libraries too investigating if we can set up a Jenkins job to check our pom on a regular basis so we can stay ahead of the game for matters like this'
1,'Update WASB driver to use the latest version 420 of SDK for Microsoft Azure Storage Clients Update WASB driver to use the latest version 420 of SDK for Microsoft Azure Storage Clients We are currently using version 220 of the SDK Version 420 brings some breaking changes Need to fix code to resolve all these breaking changes and certify that everything works properly'
1,'Refactor R mllib for easier ml implementations'
1,'Nettybased RPC env should support a clientonly mode The new netty RPC still behaves too much like akka it requires both client eg an executor and server eg the driver to listen for incoming connections That is not necessary since sockets are fullduplex and RPCs should be able to flow either way on any connection Also because the semantics of the nettybased RPC dont exactly match akka you get weird issues like SPARK10987 Supporting a clientonly mode also reduces the number of ports Spark apps need to use'
1,'Move orgapachesparkLogging into orgapachesparkinternalLogging Logging was made private in Spark 20 If we move it then users would be able to create a Logging trait themselves to avoid changing their own code Alternatively we can also provide in a compatibility package that adds logging'
1,'merge SortMergeJoin and SortMergeOuterJoin There are lots of duplicated code in SortMergeJoin and SortMergeOuterJoin should merge them and reduce the duplicated code'
1,'Prepare GenericArrayData implementation specialized for a primitive array There is a ToDo of GenericArrayData  which is to eliminate boxing unboxing for a primitive array It would be good to prepare GenericArrayData implementation specialized for a primitive array to eliminate boxing unboxing from the view of runtime memory footprint and performance'
1,'Update Chukwa parsers Update Chukwa parsers'
1,'Add a task failure listener component to TaskContext TaskContext supports task completion callback which gets called regardless of task failures However there is no way for the listener to know if there is an error This ticket proposes adding a new listener that gets called when a task fails'
1,'Upgrade Tachyon dependency to 080 Update the tachyonclient dependency from 071 to 080'
1,'move CreateTables to HiveStrategies'
1,'Change kms server port number which conflicts with HMaster port number The HBases HMaster port number conflicts with Hadoop kms port number Both uses 16000 There might be use cases user need kms and HBase present on the same cluster The HBase is able to encrypt its HFiles but user might need KMS to encrypt other HDFS directories Users would have to manually override the default port of either application on their cluster It would be nice to have different default ports so kms and HBase could naturally coexist'
1,'Upgrade Tomcat to 6048 KMS and HttpFS currently uses Tomcat 6044 propose to upgrade to the latest version is 6048'
1,'deprecate weights and use coefficients instead in ML models The name weights becomes confusing as we are supporting weighted instanced As discussed in 7884 we want to deprecate weights and use coefficients instead Deprecate but do not remove weights Only make changes under sparkml'
1,'fs tests should not be placed in hdfs The following tests are under the orgapachehadoopfs package but were moved to hdfs subdirectory by HADOOP5135 Some of them are not related to hdfs eg TestFTPFileSystem These files should be moved out from hdfs and should not use hdfs codes Some of them are testing hdfs features eg TestStickyBit They should be defined under orgapachehadoophdfs package'
1,'AsyncCallHandler should use an event driven architecture to handle async calls'
1,'More officially deprecate support for Python 26 Java 7 and Scala 210 Plan Mark it very explicit in Spark 210 that support for the aforementioned environments are deprecated Remove support it Spark 220'
1,'Add an AutoCloseableLock  Introduce an AutoCloseableLock  that is a thin wrapper over RentrantLock It allows using RentrantLock with trywithresources syntax The wrapper functions perform no expensive operations in the lock acquire release path'
1,'Validate XMLs if a relevant tool is available when using scripts Given that we are locked down to using only XML for configuration and most of the administrators need to manage it by themselves unless a tool that manages for you is used it would be good to also validate the provided config XML sitexml files with a tool like xmllint or maybe Xerces somehow when running a command or at least when starting up daemons We should use this only if a relevant tool is available and optionally be silent if the env requests'
1,'compaction utility for directories Utility will collapse the contents of a directory into a small number of files'
1,'Intel ISAL libraries should be added to the Dockerfile HADOOP11887 added a compile and runtime dependence on the Intel ISAL library but didnt add it to the Dockerfile so that it could be part of the Dockerbased build environment'
1,'Rework hadooptools As hadooptools grows bigger and bigger its becoming evident that having a single directory that gets sucked in is starting to become a big burden as the number of tools grows Lets rework this to be smarter'
1,'Simplify and Speedup HadoopFSRelation A majority of Spark SQL queries likely run though HadoopFSRelation however there are currently several complexity and performance problems with this code path The  mixes the concerns of file management schema reconciliation scan building bucketing partitioning and writing data For very large tables we are broadcasting the entire list of files to every executor For partitioned tables we always do an extra projection This results not only in a copy but undoes much of the performance gains that we are going to get from vectorized reads This is an umbrella ticket to track a set of improvements to this codepath'
1,'Move RDD creation logic from FileSourceStrategyapply We embed partitioning logic in FileSourceStrategyapply making the function very long This is a small refactoring to move it into its own functions Eventually we would be able to move the partitioning functions into a physical operator rather than doing it in physical planning'
1,'Upgrade comthoughtworksparanamer paranamer to 26 Causes jackson fail to handle byte array defined in a case Lets upgrade paranamer'
1,'Refactoring Instance out from LOR and LIR and also cleaning up some code Refactoring Instance case  out from LOR and LIR and also cleaning up some code'
1,'Upgrade to Apache Yetus 030 Upgrade yetuswrapper to be 030 now that it has passed vote'
1,'Provide a unified dependency artifact that transitively includes the cloud storage modules shipped with Hadoop Currently downstream projects that want to integrate with different Hadoopcompatible file systems like WASB and S3A need to list dependencies on each one This creates an ongoing maintenance burden for those projects because they need to update their build whenever a new Hadoopcompatible file system is introduced This issue proposes adding a new artifact that transitively includes all Hadoopcompatible file systems Similar to hadoopclient this new artifact will consist of just a pomxml listing the individual dependencies Downstream users can depend on this artifact to sweep in everything and picking up a new file system in a future version will be just a matter of updating the Hadoop dependency version'
1,'create a script to setup application in order to create root directories for application such hbase hcat hive etc'
1,'Make JvmPauseMonitor an AbstractService The new JVM pause monitor has been written with its own start stop lifecycle which has already proven brittle to both ordering of operations and even after HADOOP12313 is not thread safe both start and stop are potentially reentrant It also requires every  which supports the monitor to add another field and perform the lifecycle operations in its own lifecycle which for all Yarn services is the YARN app lifecycle as implemented in Hadoop common Making the monitor a subclass of AbstractService and moving the init start & stop operations in serviceInit serviceStart & serviceStop methods will fix the concurrency and state model issues and make it trivial to add as a child to any YARN service which subclasses CompositeService most the NM and RM apps will be able to hook up the monitor simply by creating one in the ctor and adding it as a child'
1,'pull shell code out of hadoopdist Lets pull the shell code out of the hadoopdist pomxml'
1,'move BucketSpec to catalyst module and use it in CatalogTable'
1,'Upgrade snappyjava to 1115 We should upgrade snappyjava to 1115 across all of our maintenance branches This release improves error messages when attempting to deserialize empty inputs using SnappyInputStream this operation is always an error but the old error messages made it hard to distinguish failures due to empty streams from ones due to reading invalid corrupted streams This should be a major help in the Snappy debugging work that Ive been doing'
1,'Rename PlatformDependentUNSAFE to Platform PlatformDependentUNSAFE is way too verbose'
1,'Use consistent naming for expression test suites I think we have an undocumented naming convention to call expression unit tests ExpressionsSuite and the endtoend tests FunctionsSuite Itd be great to make all test suites consistent with this naming convention'
1,'Move hbase out of hadoop core Move hbase out of hadoop core Move its JIRA issues and move it in svn'
1,'Simplify InternalRow hierarchy The current InternalRow hierarchy makes a difference between immutable and mutable rows In practice we cannot guarantee that an immutable internal row is immutable you can always pass a mutable object as an one of its elements Lets make all internal rows mutable and reduce the complexity'
1,'Upgrade Kinesis Client Library to the latest stable version We use KCL 130 in the current master KCL 140 added integration with Kinesis Producer Library KPL and support auto deaggregation It would be great to upgrade KCL to the latest stable version Note that the latest version is 161 and 160 restored compatibility with dynamodbstreamskinesisadapter which was broken in 140'
1,'Add KolmogorovSmirnov Test to SparkR KolmogorovSmirnov Test is a popular nonparametric test of equality of distributions There is implementation in MLlib It will be nice if we can expose that in SparkR'
1,'Move hashstyle shuffle code out of ExternalSorter and into own file ExternalSorter contains a bunch of code for handling the bypassMergeThreshold hashstyle shuffle path I think that it would significantly simplify the code to move this functionality out of ExternalSorter and into a separate  which shares a common interface insertAll writePartitionedFile'
1,'Rename upstreams to inputRDDs in WholeStageCodegen'
1,'Refactorize Normalizer to make code cleaner In this refactoring the performance is slightly increased by removing the overhead from breeze vector The bottleneck is still in breeze norm which is implemented by activeIterator This inefficiency of breeze norm will be addressed in next PR At least this PR makes the code more consistent in the codebase'
1,'Add Hadoop native library to javalibrarypath compression'
1,'Eclipsebased GUI DFS explorer and basic Map Reduce job launcher to increase productivity in our current project which makes a heavy use of Hadoop we wrote a small Eclipsebased GUI application which basically consists in 2 views A HDFS explorer adapted from Eclipse filesystem explorer example A MapReduce very simple job launcher'
1,'Shade Kryo in our custom Hive 121 fork In order to upgrade to Kryo 3 we need to shade Kryo in our custom Hive 121 fork'
1,'Add FoldablePropagation component optimizer This issues aims to add new FoldablePropagation optimizer component that propagates foldable expressions by replacing all attributes with the aliases of original foldable expression Other optimizations will take advantage of the propagated foldable expressions eg EliminateSorts optimizer now can handle the following Case 2 and 3
1,'make SubqueryHolder an inner '
1,'Utility classes for Archive and ChukwaRecord files Create some utility classes to dump both Archive and ChukwaRecords files'
1,'Create a testpatch script for Hudson We should create a script that Hudson uses to execute testpatch that is in source control so modifications to testpatchsh arguments can be done w o updating Hudson'
1,'Install and configure RStudio server on Spark EC2 This will make it convenient for R users to use SparkR from their browsers'
1,'Merge functionality in Hive module into SQL core module This is an umbrella ticket to reduce the difference between sql core and sql hive Ultimately the only difference should just be the ability to run Hive serdes as well as UDFs'
1,'Update KafkaDStreams to new Kafka 010 Consumer API Kafka 09 already released and it introduce new consumer API that not compatible with old one So I added new consumer api I made separate classes in package orgapachesparkstreamingkafkav09 with changed API I didnt remove old classes for more backward compatibility User will not need to change his old spark applications when he uprgade to new Spark version'
1,'Bring back the hivesitexml support for Spark 20 Right now Spark 20 does not load hivesitexml Based on users feedback it seems make sense to still load this conf file Originally this file was loaded when we load HiveConf  and all settings can be retrieved after we create a HiveConf instances Lets avoid of using this way to load hivesitexml Instead since hivesitexml is a normal hadoop conf file we can first find its url using the classloader and then use Hadoop Configurations addResource or add hivesitexml as a default resource through ConfigurationaddDefaultResource to load confs Please note that hivesitexml needs to be loaded into the hadoop conf used to create metadataHive'
1,'Use different physical plan for existing RDD and data sources Right now we use PhysicalRDD for both existing RDD and data sources they are becoming much different we should use different physical plans for them'
1,'Merge HiveSqlAstBuilder and SparkSqlAstBuilder In Spark 20 we shouldnt have two parsers anymore There should be only a single one'
1,'Break SQLQuerySuite out into smaller test suites'
1,'Allow user to choose JVM for container execution Hadoop currently supports one JVM defined through JAVAHOME Since multiple JVMs Java 6789 are active it will be helpful if there is an user configuration to choose the custom but supported JVM for her job In other words user will be able to choose her expected JVM only for her container execution while Hadoop services may be running on different JVM'
1,'WindowsGetSpaceUsed constructor should be public WindowsGetSpaceUsed constructor should be made public Otherwise building using builder will not work'
1,'Rename HiveTypeCoercion TypeCoercion We originally designed the type coercion rules to match Hive but over time we have diverged It does not make sense to call it HiveTypeCoercion anymore'
1,'Refactor SortMergeOuterJoin to reduce duplication As of the writing of this message LeftOuterIterator and RightOuterIterator are symmetrically identical If someone makes a change in one but forgets to do the same thing in the other well end up with inconsistent behavior'
1,'Consolidate the Cholesky solvers in WeightedLeastSquares and ALS There are two Cholesky solvers in WeightedLeastSquares and ALS we should merge them into one'
1,'Rename gen genCode to genCode doGenCode to better reflect the semantics'
1,'Reuse subqueries within single query There could be same subquery within a single query we could reuse the result without running it multiple times'
1,'Make labels public in StringIndexerModel  Necessary for creating inverse IndexToString'
1,'Make metrics naming consistent While working HADOOP6728 I noticed that our metrics naming style is all over the place Capitalized camel case eg FilesCreated in namenode metrics and some rpc metrics uncapitalized camel case eg threadsBlocked in jvm metrics and some rpc metrics lowercased underscored eg byteswritten in datanode metrics and mapreduce metrics'
1,'Rename ExpressionAggregate DeclarativeAggregate Matches more closely with ImperativeAggregate'
1,'Merge ParserUtils and ParseUtils We have ParserUtils and ParseUtils which are both utility collections for use during the parsing process Those name and what they are used for is very similar so I think we can merge them Also the original unescapeSQLString method may have a fault When \u0061 style character literals are passed to the method its not unescaped successfully'
1,'Move DT RF GBT Param setter methods to sub classes Move DT RF GBT Param setter methods to sub classes and deprecate these methods in the Model classes to make them more Javafriendly'
1,'Move LabelCol datatype cast into Predictorfit ClassifiergetNumClasses can not support NonDouble types and classification algos relying on it do not support nondouble labelCol like NavieBayes It is not a reasonable way to do datatype cast everywhere And we can make cast only happen in Predictor'
1,'refactor object operator framework to make it easy to eliminate serializations'
1,'Move jenkins to Java 7 As hadoop 27 will drop the support of Java 6 the jenkins slaves should be compiling code using Java 7'
1,'Incorporate checkcompatibility script which runs Java API Compliance Checker Based on discussion at YETUS445 this code cant go there but its still very useful for release managers A similar variant of this script has been used for a while by Apache HBase and Apache Kudu and IMO JACC output is easier to understand than JDiff'
1,'Bisecting kmeans wrapper module in SparkR Implement a wrapper module in SparkR to support bisecting kmeans'
1,'Update sparklogit in sparkrvignettes sparklogit is added in 21 We need to update sparkvignettes to reflect the changes This is part of SparkR QA work'
1,'Improve constraints propagation in Union Currently Union only takes intersect of the constraints from its children all others are dropped we should try to merge them together'
1,'Chukwa test framework Ability to test endToEnd chukwa pipeline From log file to dataSink From dataSink to demux output'
1,'Eliminate MLlib 20 build warnings from deprecations Several classes and methods have been deprecated and are creating lots of build warnings in branch20 This issue is to identify and fix those items WithSGD classes Change to make  not deprecated object deprecated and public  constructor deprecated Any public use will require a deprecated API We need to keep a nondeprecated private API since we cannot eliminate certain uses Python API streaming algs and examples Use in PythonMLlibAPI Change to using private constructors Streaming algs No warnings after we undeprecate the classes Examples Deprecate or change ones which use deprecated APIs MulticlassMetrics fields precision etc'
1,'Rework the changelog and releasenotes The current way we generate these build artifacts is awful Plus they are ugly and in the case of release notes very hard to pick out what is important'
1,'taskScheduler has some unneeded serialization While it is necessary to have two layers of serialization so that the JAR file and Property info can be deserialized prior to deserializing the Task object the third layer of deserialization is unnecessary We should eliminate a layer of serialization by moving the JARs files and Properties into the TaskDescription '
1,'explicitly declare the commonslang3 dependency as 34 Other people arent seeing this yet but unless you explicitly exclude v 34 of commonslang3 from the azure build which HADOOP13660 does then the dependency declaration of commonslang3 v 332 is creating a resolution conflict Thats a dependency only needed for the local dynamodb & tests'
1,'Use TextFileFormat in implementation of CSVFileFormat Sparks CSVFileFormat data source uses inefficient methods for reading files during schema inference and does not benefit from file listing IO performance improvements made in Spark 20 In order to fix this performance problem we should reimplement those read paths in terms of TextFileFormat'
1,'Change project version from 300 to 300alpha1 We want to rename 300 to 300alpha1 for the first alpha release However the version number is also encoded outside of the pomxmls so we need to update these too
1,'move hive hack for data source table into HiveExternalCatalog'
1,'Track current database in SQL HiveContext We already have internal APIs for Hive to do this We should do it for SQLContext too so we can merge these code paths one day'
1,'Implement code generation module for Generate Generate currently does not support code generation Lets add support for CG and for it and its most important generators explode and jsontuple'
1,'swift FS to add a service load metadata file add a metadata file giving the FS impl of swift remove the entry from coredefaultxml'
1,'Port HDFS space quotas to 018 018 already has quotas for HDFS namespace HADOOP3187 HADOOP3938 implements similar quotas for disk space on HDFS in 019 This jira proposes to port HADOOP3938 to 0184'
1,'Refactor PythonRDD to decouple iterator computation from PythonRDD The idea is that most of the logic of calling Python actually has nothing to do with RDD it is really just communicating with a socket there is nothing distributed about it and it is only currently depending on RDD because it was written this way If we extract that functionality out we can apply it to area of the code that doesnt depend on RDDs and also make it easier to test'
1,'Move some Analyzer stuff to Analyzer from DataFrameWriter module DataFrameWriterinsertInto includes some Analyzer stuff We should move it to Analyzer module'
1,'Move treeforest implementation from sparkmllib to sparkml We want to change and improve the sparkml for trees and ensembles but we cannot change the old sparkmllib To support the changes we want to make we should move the implementation from sparkmllib to sparkml We will generalize and modify it but will also ensure that we do not change the behavior Move the unit tests to sparkml and change the sparkmllib unit tests to verify model equivalence'
